1;7, 4, 2
2;37, 19, 4
3;187, 94, 8
4;937, 469, 16
5;4687, 2344, 32
6;23437, 11719, 64
7;117187, 58594, 128
8;585937, 292969, 256
9;2929687, 1464844, 512
10;14648437, 7324219, 1024
11;73242187, 36621094, 2048
12;366210937, 183105469, 4096
13;1831054687, 915527344, 8192
14;9155273437, 4577636719, 16384
15;45776367187, 22888183594, 32768
16;228881835937, 114440917969, 65536
17;1144409179687, 572204589844, 131072
18;5722045898437, 2861022949219, 262144
19;28610229492187, 14305114746094, 524288
20;143051147460937, 71525573730469, 1048576
lambda;5.00000000000001
