1;1, -0.909090909090909
2;0.0999999999999999, 1
3;1, -0.909090909090909
4;0.0999999999999999, 1
5;1, -0.909090909090909
6;0.0999999999999999, 1
7;1, -0.909090909090909
8;0.0999999999999999, 1
9;1, -0.909090909090909
10;0.0999999999999999, 1
11;1, -0.909090909090909
12;0.0999999999999999, 1
13;1, -0.909090909090909
14;0.0999999999999999, 1
15;1, -0.909090909090909
16;0.0999999999999999, 1
17;1, -0.909090909090909
18;0.0999999999999999, 1
19;1, -0.909090909090909
20;0.0999999999999999, 1
lambda;-7.04950495049505
